order_id,order_date,customer_id,region,channel,product_category,unit_price,quantity,discount_pct,returned,gross_revenue,net_revenue,order_month
ORD-0XVTM689WO,2025-02-21,CUST-E06IYCXM,Abuja,Online,Electronics,129501.04,3,0.31,0,388503.12,268067.15,2025-02
ORD-A1C3OPK53V,2025-02-21,CUST-JFCK8EM2,Abuja,Online,Groceries,1677.21,5,0.01,1,8386.05,8302.19,2025-02
ORD-BLO0DYC58O,2025-02-21,CUST-THSONGGK,Lagos,Store,Groceries,1125.0,4,0.247,0,4500.0,3388.5,2025-02
ORD-6OGVAT632M,2025-02-21,CUST-7LUII4NO,Lagos,Store,Accessories,10059.23,3,0.098,0,30177.69,27220.28,2025-02
ORD-TH29WV8PY7,2025-02-21,CUST-CU7LI7L9,Lagos,Online,Home,18881.74,2,0.202,0,37763.48,30135.26,2025-02
ORD-9Z7C105FUN,2025-02-21,CUST-SGK68H9T,Lagos,Store,Fashion,15126.13,6,0.397,0,90756.78,54726.34,2025-02
ORD-D6QZ8E7DZU,2025-02-21,CUST-Z5W28NJW,Abuja,Online,Groceries,6141.69,6,0.25,0,36850.14,27637.6,2025-02
ORD-Q2J30KUHRR,2025-02-21,CUST-MQ9UZ342,Abuja,Store,Repairs,14859.41,3,0.097,0,44578.23,40254.14,2025-02
ORD-D8L89TS3SX,2025-02-21,CUST-ZHXRAE80,Abuja,Partner,Accessories,8268.4,2,0.119,0,16536.8,14568.92,2025-02
ORD-ZIR07QTMOW,2025-02-21,CUST-1V1Q4QF5,Oyo,Partner,Home,14865.66,1,0.075,1,14865.66,13750.74,2025-02
ORD-5MI3VLB1ZZ,2025-02-21,CUST-ET3D0KKI,Lagos,Store,Home,18300.46,2,0.272,0,36600.92,26645.47,2025-02
ORD-TBW5K4V1O2,2025-02-21,CUST-HSO9M41S,Oyo,Online,Electronics,80955.2,1,0.197,0,80955.2,65007.03,2025-02
ORD-FJRLR8U32D,2025-02-21,CUST-ET9UURJD,Abuja,Online,Home,12526.85,3,0.176,0,37580.55,30966.37,2025-02
ORD-ASQ9H8VFST,2025-02-21,CUST-ZC08JFPB,Abuja,Store,Groceries,3644.53,2,0.095,0,7289.06,6596.6,2025-02
ORD-IC8Q01WRLN,2025-02-21,CUST-IZUQQEJL,Oyo,Store,Groceries,6048.88,4,0.02,0,24195.52,23711.61,2025-02
ORD-GI6ZIAYV99,2025-02-21,CUST-VP7UT48S,Rivers,Store,Electronics,89990.02,2,0.137,0,179980.04,155322.77,2025-02
ORD-PARDVQ6QHZ,2025-02-21,CUST-YQRD7VSZ,Oyo,Store,Groceries,3957.77,5,0.066,0,19788.85,18482.79,2025-02
ORD-GU6570MNDN,2025-02-21,CUST-1BTPGHMD,Rivers,Online,Electronics,22332.66,7,0.216,1,156328.62,122561.64,2025-02
ORD-RPDXLN6153,2025-02-21,CUST-LRTEH4QW,Lagos,Store,Accessories,5885.6,4,0.101,0,23542.4,21164.62,2025-02
ORD-IQTFBVRAK5,2025-02-21,CUST-XZ3822SO,Lagos,Online,Fashion,9809.59,2,0.149,0,19619.18,16695.92,2025-02
ORD-7A8VAL8RMX,2025-02-21,CUST-YL5CK77J,Abuja,Online,Fashion,8249.42,5,0.085,0,41247.1,37741.1,2025-02
ORD-VXUO48LG9I,2025-02-21,CUST-2ZA7MLBV,Abuja,Online,Fashion,16129.46,4,0.223,0,64517.84,50130.36,2025-02
ORD-CCFH7RO5BK,2025-02-21,CUST-72EUTJ9B,Abuja,Store,Repairs,23315.82,3,0.168,0,69947.46,58196.29,2025-02
ORD-TQIKDO3VTZ,2025-02-21,CUST-NQRBJK8B,Enugu,Store,Accessories,15903.13,4,0.04,0,63612.52,61068.02,2025-02
ORD-131V5G4N8M,2025-02-21,CUST-IQ5E99VU,Lagos,Online,Repairs,4562.72,4,0.119,0,18250.88,16079.03,2025-02
ORD-S65L1SB3O6,2025-02-21,CUST-9UKUP4U4,Abuja,Online,Groceries,5315.25,4,0.162,0,21261.0,17816.72,2025-02
ORD-2GGSAMHC8J,2025-02-21,CUST-B64E8E40,Lagos,Online,Electronics,110846.37,3,0.156,0,332539.11,280663.01,2025-02
ORD-79300S2VSN,2025-02-21,CUST-D3ODA1UM,Lagos,Online,Repairs,14698.4,2,0.023,0,29396.8,28720.67,2025-02
ORD-YOR7OWAQY6,2025-02-21,CUST-A5OR2KCA,Lagos,Online,Home,17404.13,2,0.372,1,34808.26,21859.59,2025-02
ORD-WN0A8Q9WKU,2025-02-21,CUST-LGBGON2M,Lagos,Store,Fashion,11750.42,6,0.067,0,70502.52,65778.85,2025-02
ORD-IHCU554SRK,2025-02-21,CUST-M3TMOSL8,Abuja,Store,Accessories,9267.9,3,0.286,0,27803.7,19851.84,2025-02
ORD-3D0DV56ASS,2025-02-21,CUST-JZEK1OZC,Lagos,Store,Electronics,99770.82,5,0.177,0,498854.1,410556.92,2025-02
ORD-Q2AC8TWXQP,2025-02-21,CUST-93IH8X17,Kano,Online,Accessories,8056.78,3,0.258,0,24170.34,17934.39,2025-02
ORD-PLOECTEI3P,2025-02-21,CUST-H4QD0CH3,Rivers,Store,Accessories,12443.62,2,0.102,0,24887.24,22348.74,2025-02
ORD-SMINHS8F47,2025-02-21,CUST-DD2I01AU,Rivers,Store,Groceries,6474.02,4,0.125,0,25896.08,22659.07,2025-02
ORD-1V2RPO227X,2025-02-21,CUST-C43D5K6G,Enugu,Store,Fashion,14509.26,6,0.177,0,87055.56,71646.73,2025-02
ORD-Q8UNAD1S0S,2025-02-21,CUST-57I4SRI9,Lagos,Online,Groceries,4974.08,4,0.022,0,19896.32,19458.6,2025-02
ORD-FEQBK3X1KZ,2025-02-21,CUST-TCG8Y3M7,Oyo,Partner,Electronics,128379.5,3,0.345,0,385138.5,252265.72,2025-02
ORD-6C302PY7UM,2025-02-21,CUST-JODY89OK,Oyo,Online,Groceries,6652.18,1,0.223,0,6652.18,5168.74,2025-02
ORD-KLC0AC6OU3,2025-02-21,CUST-AWGFN27Y,Lagos,Online,Accessories,5733.53,5,0.059,1,28667.65,26976.26,2025-02
ORD-RGHKVOOUQV,2025-02-21,CUST-KU3PK1JY,Lagos,Store,Electronics,107414.97,3,0.216,0,322244.91,252640.01,2025-02
ORD-LI4QARRD2R,2025-02-21,CUST-I38HGDA3,Lagos,Partner,Electronics,69543.0,6,0.061,0,417258.0,391805.26,2025-02
ORD-5Q2L79P7W6,2025-02-21,CUST-3KI0GVGF,Rivers,Store,Electronics,25495.87,3,0.261,0,76487.61,56524.34,2025-02
ORD-5TFMNZMGK0,2025-02-21,CUST-YKM8GIU2,Rivers,Online,Accessories,6771.64,5,0.175,0,33858.2,27933.01,2025-02
ORD-1WV9H1R7K0,2025-02-21,CUST-OEP2MKXM,Abuja,Store,Fashion,10094.58,2,0.132,0,20189.16,17524.19,2025-02
ORD-A1QLV6ITL8,2025-02-21,CUST-9IU9MXDH,Abuja,Online,Repairs,17165.54,4,0.125,0,68662.16,60079.39,2025-02
ORD-38WJCX1W6I,2025-02-21,CUST-AOFH1EMK,Rivers,Store,Electronics,50997.83,4,0.019,0,203991.32,200115.48,2025-02
ORD-0E5KJ4KQLB,2025-02-21,CUST-HICAXC1F,Lagos,Partner,Repairs,21759.34,1,0.191,0,21759.34,17603.31,2025-02
ORD-EEBHDKSRTF,2025-02-21,CUST-7O71BSNZ,Oyo,Store,Repairs,11449.51,2,0.187,0,22899.02,18616.9,2025-02
ORD-PZ3823AYUS,2025-02-21,CUST-OEFE8PNW,Kano,Online,Groceries,4957.56,1,0.038,0,4957.56,4769.17,2025-02
ORD-OZ1IT7G7OR,2025-02-21,CUST-STZLXBBB,Enugu,Online,Home,16300.11,2,0.419,0,32600.22,18940.73,2025-02
ORD-8C59PQS7LD,2025-02-21,CUST-TUD5L256,Rivers,Online,Electronics,97500.27,5,0.242,0,487501.35,369526.02,2025-02
ORD-M8LXMMTSPE,2025-02-21,CUST-0G3W52CP,Lagos,Online,Electronics,77718.49,2,0.168,0,155436.98,129323.57,2025-02
ORD-G3M476RUSD,2025-02-21,CUST-SUJGWQBW,Kano,Partner,Electronics,103108.61,3,0.204,0,309325.83,246223.36,2025-02
ORD-2AQOHH391W,2025-02-21,CUST-83SRMTMT,Kano,Store,Accessories,11310.77,4,0.205,0,45243.08,35968.25,2025-02
ORD-C248H7JV3E,2025-02-21,CUST-3H1MOHCN,Rivers,Online,Electronics,110029.29,5,0.266,0,550146.45,403807.49,2025-02
ORD-998W02PGTU,2025-02-21,CUST-N8RIL518,Lagos,Online,Home,16515.76,2,0.065,0,33031.52,30884.47,2025-02
ORD-FBF7ZOGMXQ,2025-02-21,CUST-SYXSV2EU,Kano,Online,Home,17482.19,2,0.101,0,34964.38,31432.98,2025-02
ORD-OE83H4SXIX,2025-02-21,CUST-UU71K4UY,Kano,Online,Electronics,69216.25,2,0.066,0,138432.5,129295.95,2025-02
ORD-UZB5DAP20R,2025-02-21,CUST-A9H9F2OY,Lagos,Online,Groceries,1646.06,3,0.183,0,4938.18,4034.49,2025-02
ORD-P8JQ2XTMIC,2025-02-21,CUST-DXSL3601,Lagos,Store,Electronics,73493.2,5,0.121,0,367466.0,323002.61,2025-02
ORD-KEBJVTW1YV,2025-02-21,CUST-RR2XFNBV,Oyo,Online,Home,25456.82,3,0.091,0,76370.46,69420.75,2025-02
ORD-NIXKKHJ3P1,2025-02-21,CUST-411Z0KO9,Lagos,Online,Repairs,8967.18,3,0.543,0,26901.54,12294.0,2025-02
ORD-GK30F8GZT3,2025-02-21,CUST-4XZZCI7Z,Lagos,Store,Accessories,3127.02,3,0.232,0,9381.06,7204.65,2025-02
ORD-9IJDKSF99A,2025-02-21,CUST-PV77FYGS,Lagos,Online,Electronics,128222.93,2,0.549,0,256445.86,115657.08,2025-02
ORD-OX41N1C61O,2025-02-21,CUST-K1EBP256,Enugu,Store,Home,9757.44,4,0.138,0,39029.76,33643.65,2025-02
ORD-274U1Z365E,2025-02-21,CUST-318WRGJR,Oyo,Online,Groceries,4716.58,3,0.065,0,14149.74,13230.01,2025-02
ORD-47PCTESQZW,2025-02-21,CUST-5GC7K2GC,Lagos,Store,Home,14710.28,3,0.082,0,44130.84,40512.11,2025-02
ORD-MEN2KHVDGA,2025-02-21,CUST-SNJZBN6Y,Lagos,Online,Electronics,102432.48,4,0.255,0,409729.92,305248.79,2025-02
ORD-8TBF3DHJR5,2025-02-21,CUST-56PSA97N,Abuja,Store,Home,19264.24,2,0.397,0,38528.48,23232.67,2025-02
ORD-8ZLMJELCEN,2025-02-21,CUST-UD4AK0XK,Lagos,Online,Groceries,4996.68,8,0.454,0,39973.44,21825.5,2025-02
ORD-W5Z46CK3ZI,2025-02-21,CUST-1JWF1KZ3,Enugu,Online,Home,17719.26,4,0.121,0,70877.04,62300.92,2025-02
ORD-X4U5TJSWBM,2025-02-21,CUST-PJVJ6ZMU,Abuja,Online,Groceries,3366.96,4,0.265,0,13467.84,9898.86,2025-02
ORD-R9RZ66ZJIT,2025-02-21,CUST-MK96N969,Lagos,Store,Fashion,10176.06,3,0.226,0,30528.18,23628.81,2025-02
ORD-7L5F5VGNVF,2025-02-21,CUST-02ZVG6C2,Lagos,Online,Accessories,6676.24,3,0.218,0,20028.72,15662.46,2025-02
ORD-4AAM3OZLUO,2025-02-21,CUST-G4XYHTE5,Lagos,Online,Groceries,3392.07,2,0.54,0,6784.14,3120.7,2025-02
ORD-XEX7IZIAHV,2025-02-21,CUST-0VOONAOT,Enugu,Online,Groceries,4586.64,2,0.383,0,9173.28,5659.91,2025-02
ORD-WGY6BFJYRV,2025-02-21,CUST-2WIM1U2Y,Lagos,Online,Fashion,15756.32,1,0.45,0,15756.32,8665.98,2025-02
ORD-TN3P54UM0E,2025-02-21,CUST-7SIFO1O3,Enugu,Online,Accessories,8843.98,2,0.209,0,17687.96,13991.18,2025-02
ORD-NPNCL0T9H3,2025-02-21,CUST-9R25YHIY,Oyo,Partner,Repairs,7277.1,3,0.224,0,21831.3,16941.09,2025-02
ORD-B5PM132W7O,2025-02-21,CUST-PY1D5WYB,Kano,Online,Accessories,7641.59,2,0.071,0,15283.18,14198.07,2025-02
ORD-R4NZL1QRDA,2025-02-21,CUST-HE98M6VO,Oyo,Online,Fashion,10730.39,5,0.019,0,53651.95,52632.56,2025-02
ORD-3ITU3LIR54,2025-02-21,CUST-NQ6O6G3J,Enugu,Online,Accessories,11777.25,5,0.244,1,58886.25,44518.0,2025-02
ORD-JUI2H6LRG2,2025-02-21,CUST-W07PJ34M,Enugu,Online,Groceries,3253.18,3,0.199,0,9759.54,7817.39,2025-02
ORD-8S1SOGFKL8,2025-02-22,CUST-0KZM5ADF,Kano,Store,Home,13244.78,5,0.245,0,66223.9,49999.04,2025-02
ORD-DIJ7ZQR05A,2025-02-22,CUST-HHQYROIB,Lagos,Partner,Fashion,9752.97,2,0.193,0,19505.94,15741.29,2025-02
ORD-UP13Z889I2,2025-02-22,CUST-H6UQ0AHV,Lagos,Online,Accessories,2250.0,4,0.117,0,9000.0,7947.0,2025-02
ORD-1MONAIRN00,2025-02-22,CUST-CAAMIDQE,Kano,Online,Groceries,7165.99,3,0.578,0,21497.97,9072.14,2025-02
ORD-D3UELWYXE8,2025-02-22,CUST-AWQX4U8F,Lagos,Partner,Home,20016.58,1,0.195,0,20016.58,16113.35,2025-02
ORD-QBYIEAGJEB,2025-02-22,CUST-ZJTGC79L,Lagos,Online,Home,19727.87,3,0.089,0,59183.61,53916.27,2025-02
ORD-C98N8EZ206,2025-02-22,CUST-LACQ2S6M,Rivers,Online,Groceries,8319.05,2,0.138,0,16638.1,14342.04,2025-02
ORD-U5TVL8BB3E,2025-02-22,CUST-CZWVX1CT,Enugu,Online,Groceries,5403.97,2,0.6,0,10807.94,4323.18,2025-02
ORD-ZCA7UC6LCM,2025-02-22,CUST-FZUFDNIP,Kano,Partner,Electronics,85214.28,5,0.31,0,426071.4,293989.27,2025-02
ORD-FOSG6O1M81,2025-02-22,CUST-8VCJARGD,Lagos,Partner,Electronics,33815.26,3,0.214,0,101445.78,79736.38,2025-02
ORD-3J0F7O9OP5,2025-02-22,CUST-2KAJQXF2,Kano,Store,Electronics,54566.91,5,0.283,0,272834.55,195622.37,2025-02
ORD-RX5TT7QF39,2025-02-22,CUST-NRRG4GEB,Kano,Online,Accessories,5545.91,3,0.148,0,16637.73,14175.35,2025-02
ORD-BPV5LN5DSG,2025-02-22,CUST-RTSWFPMG,Oyo,Online,Electronics,92111.74,1,0.208,0,92111.74,72952.5,2025-02
ORD-69PMVLON58,2025-02-22,CUST-BKSHYZ1U,Lagos,Store,Accessories,13020.88,2,0.269,0,26041.76,19036.53,2025-02
ORD-SHNDX1TCG5,2025-02-22,CUST-8SY9BYCY,Lagos,Online,Electronics,77198.29,3,0.223,0,231594.87,179949.21,2025-02
ORD-G8SIJYRH0B,2025-02-22,CUST-V0IUEFV2,Kano,Online,Repairs,9735.82,2,0.218,0,19471.64,15226.82,2025-02
ORD-0C9DNNSILT,2025-02-22,CUST-3CJE7VNV,Lagos,Online,Home,23105.35,2,0.307,0,46210.7,32024.02,2025-02
ORD-2DFKZJETM5,2025-02-22,CUST-Z6AL305P,Enugu,Online,Accessories,8786.14,4,0.149,0,35144.56,29908.02,2025-02
ORD-FB6RWA5KTH,2025-02-22,CUST-WT1ZZJ50,Enugu,Online,Accessories,9772.41,3,0.256,0,29317.23,21812.02,2025-02
ORD-1WW8TW089G,2025-02-22,CUST-82TRTB7Q,Lagos,Online,Electronics,82540.31,5,0.097,0,412701.55,372669.5,2025-02
ORD-NXHRRMEWED,2025-02-22,CUST-X9OUP2I3,Lagos,Store,Groceries,4645.76,3,0.146,0,13937.28,11902.44,2025-02
ORD-SL01L1IQ49,2025-02-22,CUST-YNVOEBI8,Oyo,Online,Accessories,14973.52,6,0.08,0,89841.12,82653.83,2025-02
ORD-1NEFWZX095,2025-02-22,CUST-Z7VQ1IHZ,Kano,Store,Fashion,11249.25,2,0.398,0,22498.5,13544.1,2025-02
ORD-6OZ6A9HAXX,2025-02-22,CUST-JCZKPYJC,Rivers,Online,Home,28559.78,3,0.288,0,85679.34,61003.69,2025-02
ORD-1NOLV7LJG6,2025-02-22,CUST-GWS9L1M2,Abuja,Store,Groceries,3658.51,5,0.173,0,18292.55,15127.94,2025-02
ORD-TFU9UFW1V8,2025-02-22,CUST-K9ZMDJRZ,Abuja,Online,Groceries,4656.54,2,0.258,0,9313.08,6910.31,2025-02
ORD-MCTXB33RPH,2025-02-22,CUST-504NG6MC,Rivers,Store,Accessories,10661.28,3,0.062,0,31983.84,30000.84,2025-02
ORD-H8ZYUFQ6VV,2025-02-22,CUST-KVLKTCEP,Lagos,Store,Electronics,60527.18,3,0.087,0,181581.54,165783.95,2025-02
ORD-5CM1TT3ETZ,2025-02-22,CUST-R0DNHGZR,Rivers,Online,Electronics,119201.25,3,0.09,0,357603.75,325419.41,2025-02
ORD-CHAES5EWDE,2025-02-22,CUST-0AVA88D2,Oyo,Online,Groceries,2109.13,3,0.27,0,6327.39,4618.99,2025-02
ORD-7PII2CSGF6,2025-02-22,CUST-11095H09,Abuja,Store,Repairs,19011.05,4,0.171,0,76044.2,63040.64,2025-02
ORD-KT0NA292BT,2025-02-22,CUST-KPHAGMYS,Rivers,Store,Fashion,14246.13,2,0.097,0,28492.26,25728.51,2025-02
ORD-NNGWEL1SCN,2025-02-22,CUST-8NXVB3DL,Lagos,Online,Repairs,12604.03,4,0.082,0,50416.12,46282.0,2025-02
ORD-AY1RQ0YMQC,2025-02-22,CUST-LAA0W1L2,Lagos,Online,Electronics,78537.04,5,0.064,0,392685.2,367553.35,2025-02
ORD-TJNO8Q5RL1,2025-02-22,CUST-DMQX5BR5,Enugu,Store,Home,21098.0,3,0.145,0,63294.0,54116.37,2025-02
ORD-ASOO4JFGD7,2025-02-22,CUST-UNB6U0MG,Lagos,Store,Accessories,6323.15,7,0.274,0,44262.05,32134.25,2025-02
ORD-DO60S2UMOM,2025-02-22,CUST-B9Z2UXUK,Enugu,Store,Home,24401.69,3,0.106,0,73205.07,65445.33,2025-02
ORD-80RKS7T22Y,2025-02-22,CUST-ZA5L82ZQ,Enugu,Store,Accessories,10560.51,7,0.141,0,73923.57,63500.35,2025-02
ORD-CHFTEMR333,2025-02-22,CUST-AI3JIAR0,Lagos,Online,Groceries,4013.34,2,0.048,1,8026.68,7641.4,2025-02
ORD-91QET2LPX3,2025-02-22,CUST-8DZ8RPBH,Lagos,Store,Electronics,70531.2,2,0.25,0,141062.4,105796.8,2025-02
ORD-FCZ9Z8DZTG,2025-02-22,CUST-O4954W2S,Kano,Store,Repairs,6751.91,4,0.028,0,27007.64,26251.43,2025-02
ORD-TQZ3Y5AHW2,2025-02-22,CUST-20WM7W0M,Rivers,Store,Home,19783.76,1,0.131,0,19783.76,17192.09,2025-02
ORD-G72ZYP3M5Y,2025-02-22,CUST-KYS8VYAW,Lagos,Online,Home,23262.62,2,0.255,0,46525.24,34661.3,2025-02
ORD-53852NUX8S,2025-02-22,CUST-ZS0R5TJT,Oyo,Online,Fashion,12052.45,2,0.269,0,24104.9,17620.68,2025-02
ORD-39I3M1D7U3,2025-02-22,CUST-HI1MWJ47,Abuja,Store,Accessories,7541.06,2,0.188,0,15082.12,12246.68,2025-02
ORD-ONQKS40BLH,2025-02-22,CUST-T20SWGLD,Kano,Store,Groceries,5094.18,2,0.069,0,10188.36,9485.36,2025-02
ORD-BL8F5ZIWH5,2025-02-22,CUST-S6XU0W0U,Abuja,Online,Home,28977.1,2,0.228,0,57954.2,44740.64,2025-02
ORD-BRRXYXPBZE,2025-02-22,CUST-F27O4XER,Kano,Store,Fashion,18258.0,3,0.276,0,54774.0,39656.38,2025-02
ORD-4TJBB08VJC,2025-02-22,CUST-C4D6URVD,Enugu,Online,Groceries,4222.52,4,0.34,0,16890.08,11147.45,2025-02
ORD-FORADVAX73,2025-02-22,CUST-3IJZBE4N,Abuja,Store,Fashion,16131.46,4,0.284,0,64525.84,46200.5,2025-02
ORD-5G39WEPXW4,2025-02-22,CUST-2DPB9LMX,Enugu,Store,Electronics,101101.85,7,0.199,0,707712.95,566878.07,2025-02
ORD-R76F32FZMA,2025-02-22,CUST-NC07Y6IR,Lagos,Online,Electronics,85327.69,4,0.122,0,341310.76,299670.85,2025-02
ORD-I9SMGXKPVM,2025-02-22,CUST-Z78J4BAK,Kano,Partner,Fashion,12223.85,1,0.169,0,12223.85,10158.02,2025-02
ORD-G1RN2JFTZC,2025-02-22,CUST-KVL3YQHZ,Rivers,Store,Electronics,83942.58,3,0.119,0,251827.74,221860.24,2025-02
ORD-XSQ9WKWD2G,2025-02-22,CUST-EN2B5DVI,Rivers,Store,Home,16776.47,1,0.299,0,16776.47,11760.31,2025-02
ORD-1CRCG2J7OJ,2025-02-22,CUST-C0B84MIW,Kano,Store,Home,19327.54,4,0.292,0,77310.16,54735.59,2025-02
ORD-6UOW22188B,2025-02-22,CUST-57XKIOMJ,Oyo,Online,Groceries,3595.25,2,0.078,0,7190.5,6629.64,2025-02
ORD-5Q3YMTEI17,2025-02-22,CUST-QD8X2U9N,Lagos,Store,Groceries,3363.82,2,0.354,0,6727.64,4346.06,2025-02
ORD-R7YJ3L07JG,2025-02-22,CUST-1SNXS022,Lagos,Online,Accessories,8915.39,1,0.264,0,8915.39,6561.73,2025-02
ORD-PHCA35ZUFN,2025-02-22,CUST-46F2B9G2,Oyo,Store,Fashion,11676.36,8,0.237,0,93410.88,71272.5,2025-02
ORD-JJ0I5M5VF4,2025-02-22,CUST-KTMSROD9,Lagos,Partner,Electronics,24349.23,4,0.259,0,97396.92,72171.12,2025-02
ORD-VQLIPB91S0,2025-02-22,CUST-VIXFBOP5,Lagos,Online,Repairs,22175.47,2,0.122,0,44350.94,38940.13,2025-02
ORD-PG1HBDTBL4,2025-02-22,CUST-NLCTN27F,Kano,Store,Electronics,84981.96,4,0.143,0,339927.84,291318.16,2025-02
ORD-CVMVZTOCRC,2025-02-22,CUST-JPZAX28I,Lagos,Partner,Electronics,78158.98,2,0.162,0,156317.96,130994.45,2025-02
ORD-PHNSLPJADX,2025-02-22,CUST-3OGWJ840,Rivers,Online,Repairs,16734.33,1,0.129,0,16734.33,14575.6,2025-02
ORD-H1L8XX19V1,2025-02-22,CUST-9K7HGGP7,Kano,Online,Accessories,10364.68,4,0.181,0,41458.72,33954.69,2025-02
ORD-ES8M2DVMDN,2025-02-22,CUST-O0E3ONUA,Oyo,Online,Home,16174.75,3,0.215,0,48524.25,38091.54,2025-02
ORD-SLP79KHA2R,2025-02-22,CUST-7D7FEWVE,Kano,Store,Electronics,103981.73,6,0.225,0,623890.38,483515.04,2025-02
ORD-DLU4VIGOJD,2025-02-22,CUST-HKUICZ8X,Lagos,Online,Electronics,93570.29,1,0.116,0,93570.29,82716.14,2025-02
ORD-6JEXHAKU8D,2025-02-22,CUST-4UDB7R9T,Enugu,Store,Accessories,5196.22,5,0.329,0,25981.1,17433.32,2025-02
ORD-LY4UPVBG7L,2025-02-22,CUST-HE6311S9,Abuja,Online,Fashion,3000.0,7,0.253,0,21000.0,15687.0,2025-02
ORD-XX2AUFB62R,2025-02-22,CUST-DVIQXUCN,Abuja,Online,Electronics,86269.24,2,0.179,0,172538.48,141654.09,2025-02
ORD-LKIRR2ISGB,2025-02-22,CUST-PK0TMO00,Rivers,Online,Accessories,11920.6,4,0.151,0,47682.4,40482.36,2025-02
ORD-AN35A5AN20,2025-02-22,CUST-B4VWKD17,Kano,Online,Fashion,10918.56,3,0.199,0,32755.68,26237.3,2025-02
ORD-3ZBZL4HA7A,2025-02-22,CUST-599IABAX,Abuja,Online,Groceries,7534.82,2,0.089,0,15069.64,13728.44,2025-02
ORD-MUVI70V368,2025-02-22,CUST-NQV1BJD3,Lagos,Online,Accessories,9673.48,3,0.22,0,29020.44,22635.94,2025-02
ORD-O8ND91FXJH,2025-02-22,CUST-NRJKO6LF,Lagos,Partner,Fashion,10792.75,4,0.293,0,43171.0,30521.9,2025-02
ORD-6EFBTONF2V,2025-02-22,CUST-5OG072S1,Rivers,Store,Accessories,7657.31,4,0.14,0,30629.24,26341.15,2025-02
ORD-D2URN4IPY1,2025-02-23,CUST-0R95LJQO,Enugu,Online,Groceries,5935.17,5,0.094,0,29675.85,26886.32,2025-02
ORD-VH673580QQ,2025-02-23,CUST-7VVKUHSF,Lagos,Online,Electronics,74642.94,2,0.134,0,149285.88,129281.57,2025-02
ORD-TQP44QI3R1,2025-02-23,CUST-MIBAA5S4,Lagos,Online,Groceries,3595.02,3,0.091,0,10785.06,9803.62,2025-02
ORD-Q2TKGGUQP5,2025-02-23,CUST-F4DWAUNO,Lagos,Store,Electronics,21250.0,3,0.195,0,63750.0,51318.75,2025-02
ORD-U7U9TBMJ28,2025-02-23,CUST-NVUHM6LX,Lagos,Store,Repairs,12578.09,4,0.198,0,50312.36,40350.51,2025-02
ORD-JDCE81ZVE7,2025-02-23,CUST-863HXZU7,Rivers,Online,Groceries,3452.13,4,0.148,0,13808.52,11764.86,2025-02
